timestamp,run_id,rank,market_number,market_title,side,consensus,consensus_count,total_models,reasoning,web_search_used,link
2025-11-27T08:00:16.865105,20251127_080016,1,1,Will Leeds United win on 2025-12-03?,NO,7 out of 7 models agreed,7,7,Perfect unanimous agreement across all models citing Leeds' terrible form (5 losses in 6 games) versus Chelsea's strong 3-game winning streak.,YES,https://polymarket.com/event/epl-lee-che-2025-12-03
2025-11-27T08:00:16.865105,20251127_080016,2,2,Will Volodymyr Zelenskyy rank in Google's Top 5 Most Searched People of 2025?,NO,7 out of 7 models agreed,7,7,Complete consensus that Zelenskyy's current 12th place ranking with only 12% probability and limited time remaining makes a top 5 finish extremely unlikely.,YES,https://polymarket.com/event/top-5-most-searched-people-on-google-2025
2025-11-27T08:00:16.865105,20251127_080016,3,3,Will Jeannette Jara win the Chilean presidential election?,,,7,7,"Only 3 markets were provided in the analysis, insufficient to identify 5 consensus picks.",YES,
2025-11-27T08:04:11.011648,20251127_080411,1,3,Will Morocco win the 2026 FIFA World Cup?,NO,7 out of 7 models agreed,7,7,"All models unanimously agree that despite Morocco's impressive form and historic run, winning the entire World Cup against elite global competition remains highly unlikely.",YES,https://polymarket.com/event/2026-fifa-world-cup-winner-595
2025-11-27T08:04:11.011648,20251127_080411,2,1,Spread: Lions (-2.5),YES,6 out of 7 models agreed,6,7,Strong consensus that Frank Ragnow's return significantly strengthens the Lions' offensive line enough to cover the 2.5-point spread at home.,YES,https://polymarket.com/event/nfl-gb-det-2025-11-27
2025-11-27T08:04:11.011648,20251127_080411,3,2,Counter-Strike: NRG vs Imperial (BO3),YES,5 out of 7 models agreed,5,7,"Majority consensus favors NRG based on superior ranking (#14 vs #24-28), stronger recent form, and dominant map pool win rates on key maps.",YES,https://polymarket.com/event/cs2-nrg-imp11-2025-11-27
2025-11-27T08:04:11.011648,20251127_080411,4,1,Spread: Lions (-2.5),NO (minority position),1 out of 7 models disagreed,1,7,"Only one model (Claude) recommended NO_TRADE due to mixed injury impacts, highlighting the strength of the YES consensus.",YES,https://polymarket.com/event/nfl-gb-det-2025-11-27
2025-11-27T08:04:11.011648,20251127_080411,5,2,Counter-Strike: NRG vs Imperial (BO3),NO/NO_TRADE (minority positions),2 out of 7 models disagreed with YES,2,7,"Two models expressed caution about NRG due to recent form concerns or missing Imperial data, but the YES position still holds clear majority support.",YES,https://polymarket.com/event/cs2-nrg-imp11-2025-11-27
2025-11-27T08:17:34.784253,20251127_081734,1,2,Will more people travel on Thanksgiving than last year?,YES,7 out of 7 models agreed,7,7,Perfect unanimous agreement backed by concrete AAA and FAA data showing 1.6 million more travelers than 2024.,YES,https://polymarket.com/event/will-more-people-travel-on-thanksgiving-than-last-year
2025-11-27T08:17:34.784253,20251127_081734,2,1,Will Putin meet with Zelenskyy in 2025?,NO,7 out of 7 models agreed,7,7,"Complete consensus that no meeting will occur given lack of announcements, stalled peace talks, and only one month remaining in 2025.",YES,https://polymarket.com/event/will-putin-meet-with-zelenskyy-in-2025
2025-11-27T08:17:34.784253,20251127_081734,3,3,Will Feyenoord Rotterdam win on 2025-11-27?,NO,4 out of 7 models agreed (3 chose NO_TRADE),4,7,"Majority lean against Feyenoord winning due to their poor Europa League form versus Celtic's 10-match unbeaten streak, though uncertainty led some models to avoid trading.",YES,https://polymarket.com/event/uel-fey-cel3-2025-11-27
2025-11-27T08:17:34.784253,20251127_081734,4,3,Will Feyenoord Rotterdam win on 2025-11-27?,,,3,7,Only three markets were analyzed by the AI models.,YES,
2025-11-27T08:23:50.583415,20251127_082350,1,2,Will Germany win the 2026 FIFA World Cup?,NO,7 out of 7 models agreed,7,7,"Universal agreement that despite Germany's strong qualification, the 8% public sentiment and recent tournament underperformance make a World Cup win unlikely against elite competition.",YES,https://polymarket.com/event/2026-fifa-world-cup-winner-595
2025-11-27T08:23:50.583415,20251127_082350,2,3,Based FDV above $500M one day after launch?,NO_TRADE,5 out of 7 models agreed,5,7,"Strong consensus that without official launch announcements or concrete information about the token, the market is too speculative despite high trading volume.",YES,https://polymarket.com/event/based-fdv-above-one-day-after-launch
2025-11-27T08:23:50.583415,20251127_082350,3,1,Spurs vs. Nuggets,NO,3 out of 7 models agreed (with 3 NO_TRADE),3,7,"Multiple models favor the Spurs' momentum without Wembanyama over the Nuggets, though information reliability concerns led some to abstain.",YES,https://polymarket.com/event/nba-sas-den-2025-11-28
2025-11-27T08:23:50.583415,20251127_082350,4,2,Will Germany win the 2026 FIFA World Cup? (Secondary consensus point),NO,7 out of 7 models agreed,7,7,All models cite the same evidence of low public confidence and historical underperformance as key factors against Germany.,YES,https://polymarket.com/event/2026-fifa-world-cup-winner-595
2025-11-27T08:23:50.583415,20251127_082350,5,3,Based FDV above $500M one day after launch? (Secondary consensus point),NO_TRADE,5 out of 7 models agreed,5,7,Consistent agreement across models that the lack of official information and long timeline make this position too uncertain to trade.,YES,https://polymarket.com/event/based-fdv-above-one-day-after-launch
2025-11-27T08:29:38.175575,20251127_082938,1,3,Will Zcash hit $1000 by December 31?,NO,7 out of 7 models agreed,7,7,"All models unanimously agree that Zcash cannot nearly double from ~$505 to $1,000 in approximately one month given current market conditions and bearish forecasts.",YES,https://polymarket.com/event/will-zcash-hit-1000-by-december-31
2025-11-27T08:29:38.175575,20251127_082938,2,1,"Will Trump say ""Polymarket"" by December 31?",NO,7 out of 7 models agreed,7,7,"Perfect consensus that despite Trump Jr.'s involvement, there is no indication Trump himself will mention Polymarket with only about one month remaining in the year.",YES,https://polymarket.com/event/will-trump-say-polymarket-by-december-31
2025-11-27T08:29:38.175575,20251127_082938,3,2,Russia x Ukraine ceasefire in 2025?,NO,6 out of 7 models agreed,6,7,"Strong consensus citing Russia's rejection of concessions and diplomatic stalemate, with only one model choosing NO_TRADE due to remaining time uncertainty.",YES,https://polymarket.com/event/russia-x-ukraine-ceasefire-in-2025
2025-11-27T08:35:29.341479,20251127_083529,1,3,Will Nasry Juan Asfura Zablah win the 2025 Honduras presidential election?,NO,6 out of 7 models agreed,6,7,"Overwhelming agreement that despite Trump's endorsement, Asfura faces strong competition from ruling party candidate Rixi Moncada and international scrutiny makes his victory uncertain.",YES,https://polymarket.com/event/honduras-presidential-election
2025-11-27T08:35:29.341479,20251127_083529,2,1,Will Zohran Mamdani rank in Google's Top 5 Most Searched People of 2025?,YES,5 out of 7 models agreed,5,7,"Strong majority consensus that Mamdani is already ranked #3 as of November 27, 2025, making it highly likely he finishes in the top 5 by year-end.",YES,https://polymarket.com/event/top-5-most-searched-people-on-google-2025
2025-11-27T08:35:29.341479,20251127_083529,3,2,Stable FDV above $2B one day after launch?,NO_TRADE,3 out of 7 models agreed,3,7,"Multiple models cite the market's already high 80% pricing, distant 2027 resolution date, and lack of concrete tokenomics data as reasons to avoid trading.",YES,https://polymarket.com/event/stable-fdv-above-one-day-after-launch
2025-11-27T08:35:29.341479,20251127_083529,4,2,Stable FDV above $2B one day after launch?,YES,3 out of 7 models agreed,3,7,Three models point to strong market confidence at 80% probability and substantial trading volume ($513k) as indicators of expected success.,YES,https://polymarket.com/event/stable-fdv-above-one-day-after-launch
2025-11-27T08:35:29.341479,20251127_083529,5,1,Will Zohran Mamdani rank in Google's Top 5 Most Searched People of 2025?,NO_TRADE,1 out of 7 models agreed,1,7,"Only one model identified contradictory information in the news context, making this the weakest consensus position across all markets.",YES,https://polymarket.com/event/top-5-most-searched-people-on-google-2025
2025-11-27T08:41:50.469341,20251127_084150,1,2,Will Pope Leo XIV be the #1 searched person on Google this year?,NO,5 out of 7 models agreed,5,7,"Strong majority consensus that despite historic significance, the Pope is unlikely to surpass major global celebrities and political figures in year-end search rankings.",YES,https://polymarket.com/event/1-searched-person-on-google-this-year
2025-11-27T08:41:50.469341,20251127_084150,2,1,Will a balloon deflate during the 2025 Macy's Thanksgiving Day Parade?,NO,5 out of 7 models agreed,5,7,"Most models agree that despite gusty winds, historical precedent shows deflation is rare and authorities will likely ground balloons preemptively rather than risk in-parade deflation.",YES,https://polymarket.com/event/will-a-balloon-deflate-during-the-2025-macys-thanksgiving-day-parade
2025-11-27T08:41:50.469341,20251127_084150,3,3,Lighter market cap (FDV) >$4B one day after launch?,NO,4 out of 7 models agreed,4,7,"Majority consensus that despite strong backing, the nearly 3x increase needed from $1.5B valuation plus airdrop sell pressure makes >$4B FDV unlikely within one day.",YES,https://polymarket.com/event/lighter-market-cap-fdv-one-day-after-launch
2025-11-27T08:41:50.469341,20251127_084150,4,3,Lighter market cap (FDV) >$4B one day after launch?,YES,3 out of 7 models agreed,3,7,Minority position citing strong Ethereum community backing and analyst projections for initial pump despite airdrop concerns.,YES,https://polymarket.com/event/lighter-market-cap-fdv-one-day-after-launch
2025-11-27T08:41:50.469341,20251127_084150,5,2,Will Pope Leo XIV be the #1 searched person on Google this year?,YES,2 out of 7 models agreed,2,7,Minority position emphasizing the historic nature of first American pope election and high-profile international activities generating massive search interest.,YES,https://polymarket.com/event/1-searched-person-on-google-this-year
2025-11-27T08:47:49.358614,20251127_084749,1,3,Lighter market cap (FDV) >$1B one day after launch?,YES,5 out of 7 models agreed,5,7,"Strong consensus based on Lighter's $1.5B pre-TGE valuation, $1B+ TVL, and major investor backing making the $1B FDV threshold highly achievable.",YES,https://polymarket.com/event/lighter-market-cap-fdv-one-day-after-launch
2025-11-27T08:47:49.358614,20251127_084749,2,1,Bengals vs. Ravens,NO,5 out of 7 models agreed (2 NO_TRADE),5,7,"Ravens favored due to Lamar Jackson's health, Tee Higgins' uncertain concussion status, and Baltimore's overall stronger position despite Burrow's return.",YES,https://polymarket.com/event/nfl-cin-bal-2025-11-27
2025-11-27T08:47:49.358614,20251127_084749,3,2,Dota 2: Heroic vs Yakult Brothers (BO1),YES,"4 out of 7 models agreed (2 NO, 1 NO_TRADE)",4,7,"Heroic's superior ranking (#11 vs #17), better recent record (3-7 vs 2-8), and 2-1 head-to-head advantage make them the clear favorite.",YES,https://polymarket.com/event/dota2-heroic-yak-2025-11-27
2025-11-27T08:47:49.358614,20251127_084749,4,2,Dota 2: Heroic vs Yakult Brothers (BO1),NO (for Yakult Brothers winning),4 out of 7 models effectively agreed,4,7,Multiple models explicitly predicted NO on Yakult Brothers due to Heroic's statistical advantages across all metrics.,YES,https://polymarket.com/event/dota2-heroic-yak-2025-11-27
2025-11-27T08:47:49.358614,20251127_084749,5,3,Lighter market cap (FDV) >$1B one day after launch?,NO,2 out of 7 models agreed (minority view but notable),2,7,Concerns about typical token launch volatility and day-one sell pressure from early investors despite strong fundamentals.,YES,https://polymarket.com/event/lighter-market-cap-fdv-one-day-after-launch
2025-11-27T08:53:37.610952,20251127_085337,1,1,Will MetaMask launch a token in 2025?,YES,7 out of 7 models agreed,7,7,Perfect unanimous agreement across all models based on official CEO confirmation and the $30M rewards program tied to the token launch.,YES,https://polymarket.com/event/will-metamask-launch-a-token-in-2025
2025-11-27T08:53:37.610952,20251127_085337,2,2,Will Mark Kelly win the 2028 Democratic presidential nomination?,NO,5 out of 7 models agreed (2 said NO_TRADE),5,7,Strong majority consensus that Kelly's endorsement of Kamala Harris and lack of declared candidacy make his nomination unlikely.,YES,https://polymarket.com/event/democratic-presidential-nominee-2028
2025-11-27T08:53:37.610952,20251127_085337,3,3,Suns vs. Thunder,NO,4 out of 7 models agreed (3 said NO_TRADE),4,7,"Majority lean toward Thunder victory based on their 10-game winning streak and Shai Gilgeous-Alexander's dominant 40-point performance, though three models found it too close to call.",YES,https://polymarket.com/event/nba-phx-okc-2025-11-28
2025-11-27T08:53:37.610952,20251127_085337,4,2,Will Mark Kelly win the 2028 Democratic presidential nomination?,NO/NO_TRADE combined,7 out of 7 models agreed against YES,7,7,"Complete consensus that betting YES on Kelly is not advisable, with all models either predicting NO or staying neutral.",YES,https://polymarket.com/event/democratic-presidential-nominee-2028
2025-11-27T08:53:37.610952,20251127_085337,5,3,Suns vs. Thunder,NO/NO_TRADE combined,7 out of 7 models agreed against YES (Suns),7,7,"Universal agreement that the Suns are not the favorable pick, with models either backing Thunder or finding the matchup too competitive to call.",YES,https://polymarket.com/event/nba-phx-okc-2025-11-28
