timestamp,market_title,search_query,response_length,response_preview
2025-11-27T07:59:41.005833,Will Leeds United win on 2025-12-03?,Will Leeds United win on 2025-12-03?,2190,"
## EPL Schedule
- Chelsea FC @ Leeds United on Wednesday, Dec 03, 2025 at 12:15 PM PST


Leeds United is set to face Chelsea at Elland Road on December 3, 2025, at 8:15 PM GMT. ([leedsunited.com](htt"
2025-11-27T07:59:47.109029,Will Volodymyr Zelenskyy rank in Google’s Top 5 Most Searched People of 2025?,Will Volodymyr Zelenskyy rank in Google’s Top 5 Most Searched People of 2025?,1406,"As of November 27, 2025, Volodymyr Zelenskyy is not among the top five most searched people on Google. According to recent data, he ranks 12th, with a 12% chance of entering the top five. ([polymarket"
2025-11-27T07:59:53.396002,Will Jeannette Jara win the Chilean presidential election?,Will Jeannette Jara win the Chilean presidential election?,2552,"Jeannette Jara, a member of Chile's Communist Party and former Minister of Labor, is currently in a runoff for the presidency against far-right candidate José Antonio Kast. In the first round of votin"
2025-11-27T08:03:14.425011,Spread: Lions (-2.5),Spread: Lions (-2.5),3890,"The Detroit Lions are set to face the Green Bay Packers today, Thursday, November 27, 2025, at 1:00 PM EST. The Lions are favored by 2.5 points in this NFC North matchup.

**Recent Developments:**

- "
2025-11-27T08:03:25.413424,Counter-Strike: NRG vs Imperial (BO3),Counter-Strike: NRG vs Imperial (BO3),3800,"NRG Esports and Imperial Esports are set to face off in a crucial best-of-three (BO3) match at the StarLadder Budapest Major 2025 Stage 1 on November 27, 2025, at 16:30 CET. This match is pivotal, as "
2025-11-27T08:03:32.321117,Will Morocco win the 2026 FIFA World Cup?,Will Morocco win the 2026 FIFA World Cup?,3532,"As of November 27, 2025, Morocco has demonstrated exceptional performance in international football, positioning itself as a strong contender for the 2026 FIFA World Cup.

**Recent Achievements:**

- "
2025-11-27T08:16:52.030756,Will Putin meet with Zelenskyy in 2025?,Will Putin meet with Zelenskyy in 2025?,2272,"As of November 27, 2025, there have been no official announcements or credible reports indicating that Russian President Vladimir Putin and Ukrainian President Volodymyr Zelenskyy will meet in 2025. T"
2025-11-27T08:16:59.102939,Will more people travel on Thanksgiving than last year?,Will more people travel on Thanksgiving than last year?,2830,Recent data indicates a significant increase in Thanksgiving travel for 2025 compared to the previous year. The American Automobile Association (AAA) projects that 81.8 million Americans will travel a
2025-11-27T08:17:08.525991,Will Feyenoord Rotterdam win on 2025-11-27?,Will Feyenoord Rotterdam win on 2025-11-27?,2384,"Feyenoord Rotterdam is set to face Celtic in a UEFA Europa League match today, November 27, 2025, at 5:45 PM local time at De Kuip stadium in Rotterdam. ([thescore.com](https://www.thescore.com/uefa/e"
2025-11-27T08:22:41.037138,Spurs vs. Nuggets,Spurs vs. Nuggets,3563,"The San Antonio Spurs and Denver Nuggets are set to face off on Friday, November 28, 2025, at 6:30 PM PST in an NBA Cup group stage matchup. 

**Recent Performances:**

- **San Antonio Spurs:** In the"
2025-11-27T08:22:47.257854,Will Germany win the 2026 FIFA World Cup?,Will Germany win the 2026 FIFA World Cup?,2811,"Germany has recently secured qualification for the 2026 FIFA World Cup with a decisive 6-0 victory over Slovakia on November 17, 2025. This win ensured they topped Group A with 15 points, ahead of Slo"
2025-11-27T08:22:55.125261,Based FDV above $500M one day after launch?,Based FDV above $500M one day after launch?,1860,"The prediction market ""Based FDV above $500M one day after launch?"" on Polymarket has garnered significant attention, with a total volume of $227,921. As of now, the market is evenly split, with 54% o"
2025-11-27T08:28:55.194208,"Will Trump say ""Polymarket"" by December 31?","Will Trump say ""Polymarket"" by December 31?",2988,"As of November 27, 2025, there is no public record of former President Donald Trump mentioning ""Polymarket"" in any of his statements. A prediction market on Polymarket, titled ""Will Trump say 'Polymar"
2025-11-27T08:29:05.380857,Russia x Ukraine ceasefire in 2025?,Russia x Ukraine ceasefire in 2025?,5508,"As of November 27, 2025, the conflict between Russia and Ukraine remains unresolved, with recent developments indicating limited progress toward a comprehensive ceasefire.

**Recent Developments:**

-"
2025-11-27T08:29:10.525501,Will Zcash hit $1000 by December 31?,Will Zcash hit $1000 by December 31?,1391,"As of November 27, 2025, Zcash (ZEC) is trading at approximately $504.76.

## Stock market information for Binance-Peg ZEC (ZEC)
- Binance-Peg ZEC is a crypto in the CRYPTO market.
- The price is 504."
2025-11-27T08:34:41.970104,Will Zohran Mamdani rank in Google’s Top 5 Most Searched People of 2025?,Will Zohran Mamdani rank in Google’s Top 5 Most Searched People of 2025?,1145,"As of November 27, 2025, Zohran Mamdani, the newly elected mayor of New York City, is not among the top five most searched individuals on Google for 2025. The current top five are:

1. **Pope Leo XIV*"
2025-11-27T08:34:47.894840,Stable FDV above $2B one day after launch?,Stable FDV above $2B one day after launch?,1835,"The prediction market ""Stable FDV above $2B one day after launch?"" on Polymarket has seen significant activity, with a volume of $513,007 and a resolution date set for January 1, 2027. As of the lates"
2025-11-27T08:34:54.721932,Will Nasry Juan Asfura Zablah win the 2025 Honduras presidential election?,Will Nasry Juan Asfura Zablah win the 2025 Honduras presidential election?,3024,"As of November 27, 2025, the Honduran presidential election is set for November 30, 2025, featuring three main candidates:

- **Rixi Moncada**: Candidate of the ruling Liberty and Refoundation (LIBRE)"
2025-11-27T08:40:33.654327,Will a balloon deflate during the 2025 Macy's Thanksgiving Day Parade?,Will a balloon deflate during the 2025 Macy's Thanksgiving Day Parade?,2312,"As of November 27, 2025, the Macy's Thanksgiving Day Parade is set to commence at 8:30 a.m. EST in Manhattan, featuring 34 balloons, including new additions like Buzz Lightyear, Pac-Man, Mario, and a "
2025-11-27T08:41:13.151358,Will Pope Leo XIV be the #1 searched person on Google this year?,Will Pope Leo XIV be the #1 searched person on Google this year?,3044,"Pope Leo XIV, born Robert Francis Prevost on September 14, 1955, in Chicago, Illinois, was elected as the 267th pope of the Roman Catholic Church on May 8, 2025. He is the first pope from the United S"
2025-11-27T08:41:19.281575,Lighter market cap (FDV) >$4B one day after launch?,Lighter market cap (FDV) >$4B one day after launch?,1619,"The ""Lighter market cap (FDV) one day after launch?"" prediction market on Polymarket has seen fluctuating probabilities regarding the Fully Diluted Valuation (FDV) of Lighter's token exceeding $4 bill"
2025-11-27T08:46:55.951168,Bengals vs. Ravens,Bengals vs. Ravens,2834,"The Cincinnati Bengals are set to face the Baltimore Ravens on Thursday, November 27, 2025, at 5:20 PM PST. 

**Recent Developments:**

- **Joe Burrow's Return:** The Bengals have activated quarterbac"
2025-11-27T08:47:03.008314,Dota 2: Heroic vs Yakult Brothers (BO1),Dota 2: Heroic vs Yakult Brothers (BO1),2014,"The upcoming Dota 2 match between Heroic and Yakult Brothers is scheduled for November 27, 2025, at 18:00 UTC, as part of the BLAST Slam V Main Event Group Stage. ([strafe.com](https://www.strafe.com/"
2025-11-27T08:47:08.554029,Lighter market cap (FDV) >$1B one day after launch?,Lighter market cap (FDV) >$1B one day after launch?,1657,"Lighter, a decentralized perpetual exchange (Perp DEX) platform, has demonstrated remarkable growth since its launch. In October 2025, it surpassed $1 billion in Total Value Locked (TVL), marking a si"
2025-11-27T08:52:54.131374,Will MetaMask launch a token in 2025?,Will MetaMask launch a token in 2025?,2937,"MetaMask, the widely used Ethereum wallet, has recently confirmed plans to launch its native token, MASK, in 2025. This development follows years of speculation and aligns with MetaMask's broader stra"
2025-11-27T08:53:01.193497,Will Mark Kelly win the 2028 Democratic presidential nomination?,Will Mark Kelly win the 2028 Democratic presidential nomination?,2839,"As of November 27, 2025, Senator Mark Kelly of Arizona has not officially declared his candidacy for the 2028 Democratic presidential nomination. However, recent developments provide insight into his "
2025-11-27T08:53:08.913172,Suns vs. Thunder,Suns vs. Thunder,3132,"The Phoenix Suns and Oklahoma City Thunder are set to face off in a pivotal NBA Cup West Group A matchup on Friday, November 28, 2025. Both teams enter the game with 3-0 records in the group, making t"
